Discord Name;Geoguessr Name
_.ytho;AI Generated Brain
Blaboo;Blaboo
_packisback;Jakob
jamabi_;Jamabi
kodiak1777;Kodiak
denkistyle;Moritz
Renegade;Renegade
Reynardo;Reynardo
tjay0501;Tjay
bananoky;bananoky
jogilochi;jogilochi
heymorica;morica
quarksauce;quarksauce
undwaas;undwaas
