Discord Name;Geoguessr Name
deathgrippernr1;Arn
Chrischi;Chrischi
Flowsp;Flowsp
gn0mech1ld;GNOMECH1LD
loda18;LoDa
Luizzo8;Luizzo8
moheumath;Moheu
monotonie;Mono
jess795;[MG]jess
clue#less;clue#less
dreifachpunkt.;dreifachpunkt.
jhNS;jhnns
FCBKingProfi;ra1n
ttef.;ttef
ulmeemil;ulmeemil
